2023-03-16 11:20:37 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-16 11:20:37 [main] INFO  c.m.vss.config.server.ConfigServer - Starting ConfigServer using Java 11.0.2 on 00340753 with PID 15554 (/home/maksim/IdeaProjects/improving/target/classes started by maksim in /home/maksim/IdeaProjects/improving)
2023-03-16 11:20:37 [main] INFO  c.m.vss.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-03-16 11:20:38 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=78eb21c4-3e4b-328b-b6b1-0e77bcca6507
2023-03-16 11:20:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-16 11:20:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-16 11:20:38 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-16 11:20:38 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-03-16 11:20:38 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-16 11:20:38 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1185 ms
2023-03-16 11:20:39 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-03-16 11:20:39 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-16 11:20:39 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-16 11:20:39 [main] INFO  c.m.vss.config.server.ConfigServer - Started ConfigServer in 2.602 seconds (JVM running for 3.107)
2023-03-16 13:27:19 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-16 13:27:19 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-16 13:27:19 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-03-16 13:27:21 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
2023-03-16 13:33:21 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
2023-03-16 14:17:08 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
2023-03-16 14:18:33 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
2023-03-16 14:18:56 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
2023-03-16 14:21:12 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
2023-03-16 14:23:33 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-3615343215524575615/application.yml]' via location 'file:/tmp/config-repo-3615343215524575615/'
