2023-03-27 09:14:59 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2023-03-27 09:14:59 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - Starting ConfigServer using Java 11.0.2 on 00340753 with PID 8994 (/home/maksim/IdeaProjects/improving/config-server/target/classes started by maksim in /home/maksim/IdeaProjects/improving)
2023-03-27 09:14:59 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-03-27 09:14:59 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-27 09:14:59 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-27 09:14:59 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=573718b9-94ff-33bb-9780-dfe7517cfe72
2023-03-27 09:15:00 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-27 09:15:00 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-27 09:15:00 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-27 09:15:00 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-03-27 09:15:00 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-27 09:15:00 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 876 ms
2023-03-27 09:15:00 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-27 09:15:00 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-27 09:15:00 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-27 09:15:00 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - Started ConfigServer in 1.919 seconds (JVM running for 2.608)
2023-03-27 09:15:57 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-27 09:15:57 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-27 09:15:57 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-27 09:20:09 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-186066630489670566/application.yml]' via location 'file:/tmp/config-repo-186066630489670566/'
2023-03-27 11:06:42 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2023-03-27 11:06:42 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - Starting ConfigServer using Java 11.0.2 on 00340753 with PID 28274 (/home/maksim/IdeaProjects/improving/config-server/target/classes started by maksim in /home/maksim/IdeaProjects/improving)
2023-03-27 11:06:42 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-03-27 11:06:42 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-03-27 11:06:42 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-03-27 11:06:43 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=573718b9-94ff-33bb-9780-dfe7517cfe72
2023-03-27 11:06:43 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-27 11:06:43 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-27 11:06:43 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-27 11:06:43 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-03-27 11:06:43 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-27 11:06:43 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 931 ms
2023-03-27 11:06:43 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-03-27 11:06:44 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-27 11:06:44 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-27 11:06:44 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - Started ConfigServer in 1.886 seconds (JVM running for 2.584)
2023-03-27 11:08:02 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-27 11:08:02 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-03-27 11:08:02 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-03-27 11:08:04 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-7466530416587350027/application.yml]' via location 'file:/tmp/config-repo-7466530416587350027/'
2023-03-27 11:37:17 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-7466530416587350027/application.yml]' via location 'file:/tmp/config-repo-7466530416587350027/'
2023-03-27 14:31:52 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - Starting ConfigServer using Java 11.0.2 on 00340753 with PID 28274 (/home/maksim/IdeaProjects/improving/config-server/target/classes started by maksim in /home/maksim/IdeaProjects/improving)
2023-03-27 14:31:52 [restartedMain] INFO  c.m.vss.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2023-03-27 14:31:52 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=573718b9-94ff-33bb-9780-dfe7517cfe72
2023-03-27 14:31:52 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-27 14:31:52 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-27 14:31:52 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-27 14:31:52 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
2023-03-27 14:31:52 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-27 14:31:52 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 293 ms
